"Bug ID","Feature","Severity","Status","Summary","Steps to Reproduce","Expected Result","Actual Result","Suggested Fix"
"BUG-01","Founder Dashboard","CRITICAL","FAIL","Unauthenticated access to /founder and admin analytics","Navigate to https://leakgrader.com/founder directly in an incognito window without credentials.","HTTP 401 Unauthorized or redirect to admin login.","Full founder command center and pipeline ledger render with customer contact info exposed.","Implement session authentication or HTTP Basic Auth on /founder and /analytics routes."
"BUG-02","Security / Entitlements","CRITICAL","FAIL","Complete absence of server-side entitlement checks on paid APIs","Send POST request directly to /api/leads/generate or /api/content/generate without an active license key or payment token.","HTTP 403 Forbidden or license verification required.","API executes generation and returns full premium leads/articles for free.","Add Authorization Bearer token validation middleware to all premium endpoints."
"BUG-03","OmniBrain Document Vault","CRITICAL","FAIL","Single global shared document index across all users (cross-tenant exposure)","User A uploads document via /api/upload. User B queries /api/query with matching keywords.","User B should only search their own isolated workspace documents.","User B retrieves User A's private document chunks and text citations.","Introduce tenant_id/workspace_id into document metadata, retrieval vector space, and storage directories."
"BUG-04","OmniBrain Document Vault","CRITICAL","FAIL","Anonymous unauthenticated knowledge base destruction via /api/documents/clear","Send POST request to /api/documents/clear from any external IP without authentication.","HTTP 401/403 Forbidden.","All indexed documents and chunks in ALL_DOCUMENTS and knowledge_index.json are completely wiped.","Require super-admin authentication and CSRF protection before accepting clear/delete requests."
"BUG-05","Payment Gateway","CRITICAL","FAIL","Missing webhook signature validation and unverified entitlement activation","Inspect /api/checkout/create and backend routing in app.py.","Payments should only be granted after receiving an authenticated HMAC SHA256 signed webhook from Lemon Squeezy.","Checkout session returns instant unlock token without webhook confirmation or signature verification.","Implement POST /api/payment/webhook with strict Lemon Squeezy HMAC SHA256 X-Signature validation."
"BUG-06","Revenue Leak Scanner","HIGH","FAIL","40x mathematical discrepancy between publicly displayed formula and backend calculation","Set traffic=25,000 and deal=1,200. Public formula states: 25000 * 0.08 * 0.684 * 0.72 * 1200 = $1,181,952. Backend executes: 25000 * 0.08 * 0.684 * 0.72 * 0.025 * 1200 = $29,500.","Backend and frontend displayed formula should match exactly.","Backend multiplies by unadvertised 0.025 close-rate factor, causing a 40x difference ($1.18M vs $29.5k).","Harmonize the displayed methodology formula on web/index.html to include the 2.5% close-rate factor, or update backend."
"BUG-07","Payment Documentation","HIGH","FAIL","Documentation mismatch: Legal pages advertise Stripe while backend only configures Lemon Squeezy","Inspect web/terms.html and web/privacy.html vs config/payment_links.json.","Legal agreements should accurately reflect active payment processors.","Terms and Privacy policies cite Stripe as an active processor, but Stripe is not implemented.","Update Terms and Privacy policy disclosures to reflect Lemon Squeezy Merchant of Record exclusively."
"BUG-08","JSON Storage Concurrency","HIGH","FAIL","Multi-threaded file-backed JSON writes without thread locks or atomic rename","Send concurrent booking or lead write requests to the server.","Thread-safe atomic updates with file locking (flock/portalocker).","File is opened directly in 'w' mode without locks, causing potential lost updates and partial JSON corruption.","Wrap JSON saves in threading.Lock() and write to temporary file before atomic os.replace()."
"BUG-09","Public UX","MEDIUM","FAIL","Missing custom branded 404 error page","Request an invalid URL such as https://leakgrader.com/non-existent-page.","Branded HTML 404 page with navigation back to homepage.","Server returns raw unstyled text or JSON error.","Add branded 404.html template handler in app.py do_GET."
"BUG-10","Contact Engine","MEDIUM","FAIL","Absence of rate limiting or spam bot protection on contact and newsletter forms","Send rapid automated POST submissions to /api/contact/submit.","Rate-limiting (e.g. 5 req/min per IP) or honeypot verification.","Inquiries are saved sequentially into contact_messages.json without throttling.","Implement honeypot field and IP-based rate limiting on public inquiry endpoints."
"BUG-11","B2B Prospect Search","MEDIUM","FAIL","Synthetic prospect records lack clear demo/sample disclaimers","Generate leads using /api/leads/generate with fallback heuristics.","Fictional/demo leads should be clearly tagged as 'Demonstration Sample'.","Leads display verified badges ('Verified Direct Mobile') without disclosing synthetic origin.","Add an explicit 'Demo / Fictional Record' badge to algorithmic fallback records."
"BUG-12","Account & Billing","HIGH","NOT_IMPLEMENTED","User accounts, login, and subscription management portal not implemented","Check for user registration, login, and self-service account management routes.","Authenticated user session with subscription tier and usage metrics.","Feature does not exist in application code; all users operate as anonymous visitors.","Implement user authentication service and link to Lemon Squeezy customer portal."
"BUG-13","Competitor Battlecard","MEDIUM","FAIL","Target and competitor domain can be identical (self-comparison battle)","Enter example.com in both target and competitor inputs in Battlecard mode.","Validation error: 'Target and competitor cannot be the same domain'.","System simulates a battle of example.com vs example.com and awards winner.","Add client and server check: if (myDomain.toLowerCase() === compDomain.toLowerCase()) reject."
"BUG-14","Revenue Leak Scanner","MEDIUM","FAIL","Missing upper boundary validation on traffic and deal value inputs","Enter 999999999999 in monthly visitors or deal value.","Input clamped to realistic maximum (e.g. max 50M visitors, max $1M deal).","Calculates multi-trillion dollar loss without validation error.","Enforce sensible input caps (e.g. max visitors: 10,000,000; max deal: $500,000)."
"BUG-15","Revenue Leak Scanner","LOW","FAIL","Estimates described as exact revenue loss in main dial card","Run audit and review leak value description in UI scorecard.","Clear disclosure that leak figure is a simulated benchmark estimate.","Labeled as 'Calculated from your verified custom traffic & deal value inputs' without prominent estimate qualifier.","Update UI copy to 'Simulated Benchmark Estimate' with contextual tooltip."
