Route,Method,Classification,Lockdown_Behavior,Normal_Auth_Required,Entitlement_Required,Status_Code_Unauth,Status_Code_Locked,Status_Code_Normal
/,GET,Public_Marketing,Allowed,None,None,200,200,200
/about,GET,Public_Marketing,Allowed,None,None,200,200,200
/contact,GET,Public_Marketing,Allowed,None,None,200,200,200
/robots.txt,GET,Public_SEO,Allowed,None,None,200,200,200
/sitemap.xml,GET,Public_SEO,Allowed,None,None,200,200,200
/feed.xml,GET,Public_RSS,Allowed,None,None,200,200,200
/directory/:city/:niche,GET,Public_SEO,Allowed,None,None,200,200,200
/badge/:slug,GET,Public_Asset,Allowed,None,None,200,200,200
/health,GET,Public_Telemetry,Allowed,None,None,200,200,200
/api/pricing/plans,GET,Public_Pricing,Allowed,None,None,200,200,200
/api/sentinel/status,GET,Public_Telemetry,Allowed,None,None,200,200,200
/api/system/health,GET,Public_Telemetry,Allowed,None,None,200,200,200
/api/audit/run,POST,Public_Scanner,SSRF_Enforced_No_Disk_Write,None,None,200,200,200
/api/audit/scan,POST,Public_Scanner,SSRF_Enforced_No_Disk_Write,None,None,200,200,200
/api/competitor/battlecard,POST,Public_Diagnostic,Allowed,None,None,200,200,200
/api/newsletter/subscribe,POST,Public_Capture,Allowed,None,None,200,200,200
/api/contact/submit,POST,Public_Inquiry,Allowed,None,None,200,200,200
/founder,GET,Admin_Command_Center,Hidden_404,Admin_Token,None,404,404,200
/founder,HEAD,Admin_Command_Center,Hidden_404,Admin_Token,None,404,404,200
/dashboard,GET,Admin_Alias,Hidden_404,Admin_Token,None,404,404,200
/analytics,GET,Admin_Alias,Hidden_404,Admin_Token,None,404,404,200
/api/analytics/live,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/seo/recent-activity,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/manager/status,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/website-manager/status,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/social/feed,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/traffic-blaster/status,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/reels/feed,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/subscribers/list,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/subscribers/export-csv,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/contact/list,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/contact/export-csv,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/pipeline/status,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/pipeline/ledger,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/pipeline/export-csv,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/pipeline/mail-config,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/pipeline/gmb-config,GET,Admin_API,Hidden_404,Admin_Token,None,403,404,200
/api/pipeline/run,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/pipeline/send-email,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/pipeline/update-status,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/pipeline/test-email,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/pipeline/mail-config,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/pipeline/gmb-config,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/social/generate,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/social/dispatch,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/social/config,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/reels/generate,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/reels/dispatch,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/reels/credentials,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/website-manager/auto-heal,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/growth/indexnow-ping,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/seo/trigger-sprint,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/growth/generate-campaign,POST,Admin_Mutation,Hidden_404,Admin_Token,None,403,404,200
/api/documents,GET,Document_Vault,Contained_503,User_Token,Workspace,401,503,503
/api/documents/*,GET,Document_Vault,Contained_503,User_Token,Workspace,401,503,503
/api/documents/upload,POST,Document_Vault,Contained_503,User_Token,Workspace,401,503,503
/api/documents/index-url,POST,Document_Vault,Contained_503,User_Token,Workspace,401,503,503
/api/documents/ask,POST,Document_Vault,Contained_503,User_Token,Workspace,401,503,503
/api/query,POST,Document_Vault,Contained_503,User_Token,Workspace,401,503,503
/api/summary,POST,Document_Vault,Contained_503,User_Token,Workspace,401,503,503
/api/risk-audit,POST,Document_Vault,Contained_503,User_Token,Workspace,401,503,503
/api/extract-tables,POST,Document_Vault,Contained_503,User_Token,Workspace,401,503,503
/api/clear,POST,Document_Vault,Contained_503,User_Token,Workspace,401,503,503
/api/documents/*,DELETE,Document_Vault,Contained_503,User_Token,Workspace,401,503,503
/api/leads/list,GET,LeadPulse_Admin,Hidden_404,Admin_Token,None,403,404,200
/api/leads/export-csv,GET,LeadPulse_Admin,Hidden_404,Admin_Token,None,403,404,200
/api/leads/generate,POST,Paid_Feature_API,Unavailable_503,User_Token,b2b_leads,401,503,200
/api/leads/clear,POST,Paid_Feature_API,Unavailable_503,User_Token,b2b_leads,401,503,200
/api/content/generate,POST,Paid_Feature_API,Unavailable_503,User_Token,seo_articles,401,503,200
/api/content/generate-article,POST,Paid_Feature_API,Unavailable_503,User_Token,seo_articles,401,503,200
